Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C17, C2, C3, C4, C5, C6, C9",0603,9,100n,
"C10, C21",0805,2,2.2uF,
"C11, C12, C23, C24, C25",0603,5,0.1uF,
C13,0603,1,0.47uF,
"C14, C15",0603,2,220pF,
C18,0805,1,10uF,
"C19, C20",0603,2,12pF,
C22,0603,1,470pF,
"C7, C8",0603,2,1u,
"D1, D2, D3, D4, D5",0603,5,LED,
D6,D_SMA,1,SS34,
FB1,0603,1,120R,
"FB2, FB3",0603,2,FerriteBead,
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,MIC,
J2,PinHeader_1x04_P2.54mm_Vertical,1,STM32 Header,
J3,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
"J4, J5",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,PTT,
LS1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Speaker,
Q1,TSSOP-8_L4.4-W3.0-P0.65-LS6.4-BL-2,1,~,
Q2,SOT-23,1,AO3401A,
"R1, R14, R15",0603,3,1K,
"R10, R11, R12, R13, R9",0603,5,100R,
"R16, R17",0603,2,5.1K,
"R2, R3, R4",0603,3,2K,
"R5, R6",0603,2,100K,
R7,0603,1,150K,
R8,0603,1,2.2K,
SW1,SW_SPST_TS-1088-xR025,1,SW_Push,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F411RET6,
U2,Ai-Thinker-Ra-01-LoRa,1,Ai-Thinker-Ra-02,
U3,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,
U4,TDFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm,1,MAX9814,
U5,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,1,NOKIA5110_LCD COPY,
U6,SOT-23-5,1,MIC5219-3.3YM5,
U7,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
U8,SOT-23-6,1,DW01A,
Y1,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
