Product Name,Part / Model,Qty,Unit Price ($),Total ($),Vendor,Link
8MHz SMD Crystal,X32258MOB4SI,2,0.08,0.15,ROBU,https://robu.in/product/x32258mob4si-yxc-crystal-oscillators-8mhz-surface-mount-crystal-12pf-%c2%b110ppm-%c2%b120ppm-smd3225-4p-crystals-rohs
STM32 MCU,STM32F411RET6,2,2.88,5.76,ROBU,https://robu.in/product/stm32f411ret6-stmicroelectronics-3-6v-32-bit-risc-512kb-flash-arm-cortex-m4-mcu-dsp-fpu-art-accelerator-64-pin-lqfp
Push Button,DS-316 SPST,2,0.12,0.24,ROBU,https://robu.in/product/ds-316-mini-push-button-switch-spst-2pinoff-on
IPEX to SMA Cable,RG178 15cm,2,1.60,3.20,ROBU,https://robu.in/product/15cm-ipex1-to-sma-female-connector-cable-11mm-rg178
Mic Amplifier,MAX9814ETDT,2,2.87,5.74,ROBU,https://robu.in/product/max9814etdt-analog-devices-microphone-amplifier-2-7-v-to-5-5-v-supply-1-ma-out-40-db-50db-60db-gain-tdfn-14
Speaker AMP,MAX98357A,2,2.37,4.73,ROBU,https://robu.in/product/1-month-warranty-560
LoRa Module,SX1278 RA-02,2,3.74,7.48,ROBU,https://robu.in/product/sx1278-lora-module-ra-02-433mhz-wireless-spread-spectrum-transmission
JST Connector,8-pin XH 2.54mm,2,0.77,1.55,ROBU,https://robu.in/product/8-pin-jst-xh-2-54mm-pitch-plug-and-socket-with-cable-3pcs
Speaker,8Ω Small Speaker,2,0.75,1.51,Generic,https://sharvielectronics.com/product/speaker-8-ohm-trumpet-diameter-40mm-2-watt/
Microphone,Electret Mic Capsule,2,0.11,0.22,Generic,https://inkocean.in/products/microphones-9767-9-7-electret-microphone-a-microphone-with-pins-sensitivity-58
Display,Nokia 5110 LCD,2,3.01,6.02,Generic,https://inkocean.in/products/nokia-5110-lcd-red-screen-blue-lcd-screen-module
HeatSet Insert Attatchment,,1,6.20,6.20,Amazon,https://www.amazon.in/amiciTools-Heat-Insert-Soldering-Printing/dp/B0GFDZ5GL9/ref=asc_df_B0GFDZ5GL9?mcid=fe31e451fd45349b9016d36cd31d3876&hvadid=709875643605&hvpos=&hvnetw=g&hvrand=10961091970810594313&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1007828&hvtargid=pla-2466325763035&psc=1&hvocijid=10961091970810594313-B0GFDZ5GL9-&hvexpln=0
Passives,SMD passives,1,5.38,5.38,—,—
PCB,—,1,3.00,3.00,ALLPCB,—
TOTAL,,,,44.98,,
